date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_basement,yr_built
2014-09-01 00:00:00,905000,4.00,2.50,3300,10250,1,7,910,1946
2015-03-01 00:00:00,247500,3.00,1.75,1960,15681,1,7,0,1967
2014-09-01 00:00:00,199000,4.00,1.50,1160,6400,1,7,0,1975
2014-07-01 00:00:00,314000,3.00,1.75,1810,41800,1,7,600,1980
2014-05-01 00:00:00,437500,3.00,2.50,2320,36847,2,9,0,1992
2014-06-01 00:00:00,850830,3.00,2.50,2070,13241,1.5,9,800,1910
2014-10-01 00:00:00,555000,3.00,2.00,1980,3478,1.5,7,540,1929
2014-12-01 00:00:00,699950,3.00,2.25,2190,107593,2,8,0,1983
2014-10-01 00:00:00,1090000,3.00,2.50,2920,8113,2,8,0,1950
2014-09-01 00:00:00,290000,3.00,1.00,1210,33919,1,7,0,1954
2015-04-01 00:00:00,375000,3.00,2.50,2340,10005,1,8,880,1978
2014-05-01 00:00:00,460000,3.00,1.00,1670,4005,1.5,7,500,1939
2014-07-01 00:00:00,188500,2.00,1.75,1240,2493,1,8,0,1985
2015-03-01 00:00:00,680000,4.00,2.50,3140,28037,2,10,0,1991
2014-08-01 00:00:00,470000,5.00,1.75,2030,12342,2,7,0,1942
2014-07-01 00:00:00,597750,4.00,2.50,2310,9624,2,8,0,1984
2015-03-01 00:00:00,570000,3.00,1.75,1260,3328,1,6,560,1905
2014-09-01 00:00:00,272500,3.00,1.75,1540,12600,1,7,380,1980
2014-11-01 00:00:00,329950,3.00,1.75,2080,5969,1,7,1000,1971
2014-10-01 00:00:00,480000,4.00,2.50,3230,16171,2,9,710,2001
2014-11-01 00:00:00,740500,3.00,3.50,4380,6350,2,8,1600,1900
2014-06-01 00:00:00,518500,3.00,3.50,1590,1102,3,8,0,2010
2014-06-01 00:00:00,205425,2.00,1.00,880,6780,1,6,0,1945
2015-01-01 00:00:00,171800,4.00,2.00,1570,9600,1,6,0,1950
2015-05-01 00:00:00,535000,4.00,1.00,1610,2982,1.5,7,0,1925
2015-01-01 00:00:00,660000,3.00,2.50,2400,6474,1,8,840,1964
2014-11-01 00:00:00,391500,3.00,2.00,1450,9132,1,7,0,1987
2015-04-01 00:00:00,395000,2.00,1.00,770,6000,1,6,0,1953
2014-11-01 00:00:00,445000,4.00,1.75,2100,4400,1.5,7,380,1924
2014-06-01 00:00:00,770000,3.00,2.25,2910,10204,2,9,0,1990
2015-03-01 00:00:00,1450000,4.00,2.75,2750,17789,1.5,8,770,1914
2014-07-01 00:00:00,445000,3.00,2.25,2100,8201,1,8,480,1967
2014-07-01 00:00:00,260000,4.00,2.25,2160,8811,1,8,800,1978
2014-06-01 00:00:00,822500,5.00,3.50,2320,4960,2,7,600,1926
2015-04-01 00:00:00,430000,4.00,2.50,2070,4310,2,7,0,2004
2015-01-01 00:00:00,212000,3.00,1.75,1060,7875,1,7,0,1986
2015-04-01 00:00:00,660500,4.00,2.25,2010,9603,1,8,570,1986
2014-06-01 00:00:00,784000,3.00,3.50,3950,111078,1.5,9,1490,1989
2014-05-01 00:00:00,453246,3.00,2.50,2010,2287,2,8,620,2014
2015-01-01 00:00:00,675000,4.00,3.50,2140,2278,3,9,0,2005
2014-08-01 00:00:00,199000,3.00,1.75,1320,17390,1,7,0,1956
2014-08-01 00:00:00,220000,4.00,1.75,2020,7840,1,7,1010,1968
2014-05-01 00:00:00,452000,4.00,2.25,2590,10002,1,8,1250,1968
2014-07-01 00:00:00,382500,2.00,1.00,1190,4440,1,6,0,1981
2014-05-01 00:00:00,519950,3.00,2.25,1170,1249,3,8,0,2014
2014-06-01 00:00:00,665000,2.00,1.00,1110,3200,1,7,0,1925
2014-07-01 00:00:00,527700,5.00,2.50,2820,9375,1,8,1270,1968
2015-05-01 00:00:00,205000,3.00,1.00,1610,8579,1,7,600,1962
2015-04-01 00:00:00,420000,3.00,1.00,1060,8097,1,7,120,1923
2015-02-01 00:00:00,500000,4.00,2.25,2030,8517,1,8,650,1961
2014-12-01 00:00:00,921500,4.00,2.50,3670,315374,2,9,0,1994
2014-06-01 00:00:00,890000,4.00,1.00,2550,4000,2,8,180,1905
2014-08-01 00:00:00,430000,2.00,2.50,2420,60984,2,7,0,2007
2014-10-01 00:00:00,258000,5.00,2.00,2260,12500,1,8,1130,1960
2014-11-01 00:00:00,511000,3.00,1.00,1430,3455,1,7,450,1947
2014-08-01 00:00:00,532170,3.00,2.00,1360,3090,2,8,0,1990
2015-04-01 00:00:00,560000,3.00,1.00,1110,5000,1.5,7,0,1947
2015-03-01 00:00:00,282950,3.00,1.00,1250,8200,1,7,0,1954
2015-04-01 00:00:00,2250000,4.00,3.25,5180,19850,2,12,1640,2006
2014-05-01 00:00:00,350000,1.00,1.00,700,5100,1,7,0,1942
2014-07-01 00:00:00,215000,3.00,1.00,1180,7669,1,7,0,1967
2014-11-01 00:00:00,650000,5.00,3.50,3960,25245,2,9,1460,1996
2014-08-01 00:00:00,320000,4.00,2.75,2640,7500,1,8,1020,1967
2014-11-01 00:00:00,247000,3.00,2.00,1270,7198,1.5,7,0,1916
2014-10-01 00:00:00,320000,4.00,1.75,1760,11180,1,8,0,1968
2014-05-01 00:00:00,255000,5.00,2.25,2060,8632,1,7,1030,1962
2015-03-01 00:00:00,438000,3.00,1.75,1780,9660,1,7,0,1962
2015-03-01 00:00:00,900000,3.00,2.50,3400,16603,2,10,0,2000
2014-06-01 00:00:00,441000,3.00,2.75,1910,7280,1,7,750,1979
2014-08-01 00:00:00,420000,3.00,2.00,2020,38332,1,7,1010,1975
2014-12-01 00:00:00,370000,3.00,1.75,1580,7000,1,7,400,1976
2015-02-01 00:00:00,269950,2.00,1.75,1340,7250,1,5,640,1949
2015-03-01 00:00:00,807100,4.00,2.50,2680,4499,2,9,0,1999
2014-06-01 00:00:00,653000,3.00,2.50,2680,9750,1,8,1070,1979
2014-06-01 00:00:00,371500,3.00,2.00,1370,8336,1,7,0,1964
2015-03-01 00:00:00,284000,3.00,1.75,1560,21000,1,7,0,1954
2015-01-01 00:00:00,272000,3.00,1.75,2160,7140,1,7,490,1978
2014-05-01 00:00:00,313000,3.00,1.50,1340,7912,1.5,7,0,1955
2015-01-01 00:00:00,917500,4.00,2.50,3880,35003,2,10,1310,1984
2014-09-01 00:00:00,673000,4.00,2.25,2590,8190,2,8,0,1980
2015-02-01 00:00:00,425000,3.00,2.50,1120,1100,2,8,300,2008
2014-07-01 00:00:00,399950,5.00,2.75,1970,5400,1,7,650,1986
2014-05-01 00:00:00,385000,3.00,1.00,1220,4800,1,6,0,1901
2014-11-01 00:00:00,269950,3.00,1.50,1950,7560,1,7,630,1975
2015-01-01 00:00:00,330000,2.00,1.00,1350,8220,1,7,290,1949
2014-07-01 00:00:00,260000,3.00,2.50,1670,5797,2,7,0,1988
2015-04-01 00:00:00,470000,4.00,3.00,2380,5125,1.5,7,700,1925
2014-06-01 00:00:00,589000,4.00,3.00,2440,9600,2,7,0,1961
2014-07-01 00:00:00,163500,2.00,1.50,1050,3419,2,7,0,1996
2014-09-01 00:00:00,835000,4.00,2.75,3130,13412,2,9,990,1993
2014-11-01 00:00:00,1100000,5.00,3.00,4090,12850,1,10,2000,1986
2015-04-01 00:00:00,269000,4.00,1.75,1490,10000,1,8,390,1969
2014-05-01 00:00:00,560000,3.00,2.50,1900,8744,2,8,0,1987
2015-04-01 00:00:00,615000,4.00,1.00,1330,2400,1.5,6,0,1901
2014-12-01 00:00:00,585188,3.00,2.25,2230,10026,1,8,800,1975
2014-08-01 00:00:00,305000,3.00,1.75,1650,9480,1,7,430,1977
2014-11-01 00:00:00,166950,3.00,1.00,1190,8820,1,6,0,1959
2014-09-01 00:00:00,799000,3.00,2.50,2140,9897,1,8,0,1959
2014-06-01 00:00:00,400000,3.00,2.50,2180,7508,1,7,760,1962
2014-12-01 00:00:00,230000,3.00,1.00,1060,10228,1,7,0,1948
2014-05-01 00:00:00,256883,3.00,2.50,1690,5025,2,8,0,2003
2014-11-01 00:00:00,423000,4.00,2.00,1970,6480,1.5,7,840,1920
2014-07-01 00:00:00,465000,3.00,2.50,2150,4084,2,8,0,2007
2015-01-01 00:00:00,440000,3.00,2.50,1910,66211,2,7,0,1997
2014-10-01 00:00:00,385000,3.00,1.75,1350,155073,1,7,0,1969
2015-03-01 00:00:00,210000,3.00,1.00,860,11725,1,6,0,1943
2014-11-01 00:00:00,297000,3.00,2.50,1940,14952,2,8,0,1994
2014-07-01 00:00:00,470000,3.00,1.00,1010,5000,1,7,0,1952
2014-08-01 00:00:00,226500,3.00,1.50,1300,7370,1,7,400,1976
2015-03-01 00:00:00,274250,3.00,1.00,910,8450,1,6,0,1962
2014-08-01 00:00:00,840000,4.00,1.75,2480,11010,1,9,850,1966
2014-09-01 00:00:00,677900,3.00,2.50,2440,4587,2,8,0,2010
2015-02-01 00:00:00,425000,3.00,1.00,1010,5864,1,7,0,1915
2014-11-01 00:00:00,180250,2.00,0.75,900,9600,1,6,0,1941
2014-07-01 00:00:00,464000,6.00,3.00,2300,3404,2,7,700,1920
2015-04-01 00:00:00,320000,4.00,2.25,1550,7579,2,8,0,1993
2014-07-01 00:00:00,625504,3.00,2.25,1270,1566,2,8,210,2014
2014-05-01 00:00:00,592500,4.00,2.50,2240,12032,1,9,0,1983
2015-01-01 00:00:00,465000,3.00,2.50,2714,17936,2,9,0,2005
2014-05-01 00:00:00,477000,4.00,2.75,1720,6270,2,8,0,1978
2015-01-01 00:00:00,280000,2.00,1.00,850,16400,1,6,0,1923
2015-02-01 00:00:00,1510000,5.00,3.00,3300,33474,1,9,1430,1957
2014-07-01 00:00:00,445838,3.00,2.50,2250,5692,2,8,0,2000
2014-08-01 00:00:00,1070000,2.00,2.25,3900,14864,1,8,1950,1947
2014-10-01 00:00:00,467000,2.00,1.50,1320,10800,1,8,0,1947
2014-08-01 00:00:00,686000,4.00,2.50,2760,6440,2,10,0,1999
2014-06-01 00:00:00,279950,3.00,2.00,1750,9750,1,7,400,1961
2014-09-01 00:00:00,527000,4.00,2.25,2330,19436,2,8,0,1987
2014-09-01 00:00:00,325000,3.00,2.25,2220,16020,1,8,440,1966
2014-09-01 00:00:00,328000,3.00,2.25,2020,8379,2,7,0,1994
2014-06-01 00:00:00,390000,3.00,2.25,1250,7500,1,7,0,1942
2015-03-01 00:00:00,479950,2.00,2.00,1510,6516,1,8,0,2005
2014-05-01 00:00:00,264950,4.00,2.25,1720,9753,1,7,600,1978
2015-01-01 00:00:00,235000,3.00,1.00,1430,15246,1,7,450,1961
2015-03-01 00:00:00,516500,3.00,2.50,1480,4729,2,7,0,2004
2015-04-01 00:00:00,655000,2.00,1.75,1450,15798,2,7,220,1915
2014-06-01 00:00:00,500000,4.00,2.75,2280,15347,1,7,0,1960
2014-11-01 00:00:00,315000,6.00,2.75,2940,7350,1,8,1160,1978
2014-11-01 00:00:00,213000,2.00,1.00,1000,10200,1,6,0,1961
2014-09-01 00:00:00,475000,3.00,1.50,2480,5280,1.5,7,860,1947
2014-06-01 00:00:00,1030000,5.00,4.00,3760,28040,2,10,0,1983
2015-04-01 00:00:00,416000,3.00,2.00,2220,94300,1,7,580,1976
2015-03-01 00:00:00,410000,4.00,1.00,1970,4740,1.5,7,300,1904
2014-07-01 00:00:00,800000,3.00,3.50,3830,221284,2,10,300,1993
2014-05-01 00:00:00,472000,6.00,2.50,4410,14034,1,9,2060,1965
2014-12-01 00:00:00,225000,3.00,1.75,1430,8505,1,7,0,1968
2014-10-01 00:00:00,210000,2.00,1.00,830,6000,1,6,0,1940
2015-01-01 00:00:00,455000,2.00,1.00,1430,5000,1.5,7,0,1925
2015-04-01 00:00:00,225000,3.00,1.00,1300,8316,1,6,0,1954
2014-08-01 00:00:00,480000,2.00,1.00,1030,3060,1,7,240,1918
2015-02-01 00:00:00,363000,3.00,2.50,2740,11872,2,9,0,1990
2014-09-01 00:00:00,2400000,4.00,2.50,3650,8354,1,9,1820,2000
2015-02-01 00:00:00,181000,2.00,1.50,720,5120,1,6,0,1954
2015-03-01 00:00:00,250000,4.00,2.00,2010,7312,1,7,0,1976
2015-04-01 00:00:00,481000,3.00,1.75,1560,3000,1,6,790,1918
2014-09-01 00:00:00,260000,3.00,2.00,1810,7209,1,7,570,1978
2014-05-01 00:00:00,455000,4.00,2.50,3360,7685,2,9,0,2001
2015-04-01 00:00:00,415000,3.00,2.25,1510,36224,2,8,0,1991
2015-04-01 00:00:00,349500,3.00,1.00,1400,3538,1,7,600,1953
2014-09-01 00:00:00,245000,3.00,2.50,1730,7442,2,7,0,1987
2014-05-01 00:00:00,592500,2.00,2.00,1420,9191,1.5,7,0,1928
2014-10-01 00:00:00,385000,4.00,1.75,2360,7620,1,7,1180,1955
2015-02-01 00:00:00,315000,3.00,1.75,1580,11455,1,7,380,1974
2014-11-01 00:00:00,255000,3.00,1.00,1230,10170,1,7,0,1979
2014-08-01 00:00:00,693000,4.00,2.50,2460,4425,2,8,0,2006
2014-12-01 00:00:00,780000,3.00,1.00,1660,4400,1.5,8,200,1911
2014-10-01 00:00:00,237000,3.00,1.75,1270,8470,1,7,0,1960
2014-12-01 00:00:00,525000,3.00,2.25,2100,40510,2,10,780,1979
2015-04-01 00:00:00,425000,2.00,1.00,770,5040,1,5,0,1930
2014-10-01 00:00:00,369900,1.00,0.75,760,10079,1,5,0,1936
2014-05-01 00:00:00,290000,4.00,2.50,1700,7280,2,7,0,1988
2014-09-01 00:00:00,285000,3.00,1.00,1120,10701,1,7,0,1954
2014-08-01 00:00:00,415000,2.00,1.00,1070,4500,1,7,0,1937
2015-04-01 00:00:00,272500,3.00,2.50,2070,9900,1,8,650,1979
2015-05-01 00:00:00,2900000,4.00,3.25,5050,20100,1.5,11,300,1982
2014-10-01 00:00:00,1370000,4.00,4.75,5310,57346,2,11,0,1989
2015-05-01 00:00:00,436000,2.00,1.00,1040,7538,1,7,0,1939
2014-10-01 00:00:00,210000,3.00,1.00,1700,11390,1,7,0,1967
2014-09-01 00:00:00,236000,3.00,1.00,1300,5898,1,7,0,1961
2014-11-01 00:00:00,331000,3.00,1.75,1080,1306,1,7,500,1954
2015-03-01 00:00:00,365000,3.00,2.50,2653,4510,2,8,0,2006
2015-01-01 00:00:00,450000,3.00,2.00,2290,16258,1,8,0,1960
2014-11-01 00:00:00,770000,4.00,2.75,3820,26300,2,9,970,2014
2015-05-01 00:00:00,455000,4.00,2.50,2210,49375,1,8,0,1997
2015-05-01 00:00:00,405000,3.00,1.75,2390,6000,1,6,1150,1908
2014-07-01 00:00:00,304900,4.00,1.75,2600,11325,1,7,990,1969
2015-02-01 00:00:00,170000,2.00,1.00,860,5265,1,6,0,1931
2015-05-01 00:00:00,2050000,5.00,3.00,3830,8480,2,9,1200,1905
2014-06-01 00:00:00,780000,4.00,2.50,3500,7048,2,9,0,2005
2015-04-01 00:00:00,330000,3.00,3.00,2420,13959,1,8,680,1988
2014-09-01 00:00:00,370000,4.00,2.50,2720,8666,2,9,0,1992
2014-10-01 00:00:00,467000,5.00,2.25,2500,13500,1,7,650,1979
2015-02-01 00:00:00,405000,3.00,1.75,1670,6720,1,7,530,1980
2014-07-01 00:00:00,675000,5.00,2.25,2900,10300,1,8,1450,1985
2014-08-01 00:00:00,500000,2.00,1.00,1640,14100,1,7,500,1954
2014-07-01 00:00:00,389999,4.00,2.50,1890,15770,2,7,0,1968
2015-02-01 00:00:00,630000,4.00,1.75,2950,9025,1,8,1170,1975
2014-10-01 00:00:00,360000,4.00,2.50,2160,9528,2,9,0,1992
2014-10-01 00:00:00,580000,4.00,3.00,3280,11060,2,8,1010,1986
2014-07-01 00:00:00,550000,3.00,2.00,1970,4166,2,8,700,1929
2014-07-01 00:00:00,879000,4.00,2.50,3360,22111,2,10,0,1994
2014-08-01 00:00:00,265000,3.00,2.00,1320,8959,1,7,0,1993
2015-03-01 00:00:00,446500,3.00,2.50,2650,7286,2,8,0,1990
2014-06-01 00:00:00,404000,3.00,1.50,2030,8880,1,7,700,1963
2014-05-01 00:00:00,267500,3.00,1.75,1590,11914,1,7,500,1957
2014-06-01 00:00:00,3080000,4.00,5.00,4550,18641,1,10,1950,2002
2014-08-01 00:00:00,335000,3.00,2.50,2440,7632,2,8,0,1998
2014-06-01 00:00:00,576000,3.00,2.50,1940,9000,1,7,970,1948
2015-04-01 00:00:00,208633,3.00,2.50,2040,3810,2,8,0,2006
2015-01-01 00:00:00,315000,3.00,2.25,2200,8750,1,7,1080,1964
2015-02-01 00:00:00,725000,3.00,1.75,1920,3300,1,8,960,1913
2015-04-01 00:00:00,550000,4.00,2.75,1800,7750,1,8,400,1965
2014-06-01 00:00:00,610750,4.00,2.25,2180,7297,2,8,0,1984
2015-02-01 00:00:00,550700,2.00,1.00,1010,5000,1.5,6,0,1908
2015-01-01 00:00:00,665000,4.00,2.75,3320,10574,2,8,1100,1960
2015-02-01 00:00:00,834000,4.00,2.50,2370,4000,1.5,8,390,1928
2014-10-01 00:00:00,201000,5.00,1.75,1660,78408,1.5,6,0,1915
2014-05-01 00:00:00,2380000,5.00,2.50,3650,9050,2,10,280,1921
2014-06-01 00:00:00,1380000,4.00,3.25,4290,12103,1,11,1600,1997
2014-12-01 00:00:00,1400000,4.00,3.25,4290,12103,1,11,1600,1997
2014-11-01 00:00:00,305000,4.00,2.25,1950,7700,1,8,600,1979
2015-04-01 00:00:00,487000,3.00,2.00,2590,14052,1,8,870,1948
2015-05-01 00:00:00,390000,3.00,2.50,1930,64904,1,8,0,1988
2014-07-01 00:00:00,548000,2.00,1.00,1470,3864,1,7,300,1916
2014-11-01 00:00:00,268750,4.00,1.00,800,8775,1,6,0,1943
2014-05-01 00:00:00,819900,5.00,2.75,3150,7119,2,9,0,2013
2014-10-01 00:00:00,520000,3.00,2.25,2030,16200,2,8,0,1984
2014-07-01 00:00:00,230000,3.00,2.00,1450,11204,1,7,0,2003
2015-02-01 00:00:00,240000,3.00,1.75,1510,10248,1,7,0,1969
2014-09-01 00:00:00,232000,2.00,1.00,1240,12092,1,6,280,1922
2015-03-01 00:00:00,240500,2.00,1.00,1240,12092,1,6,280,1922
2014-10-01 00:00:00,274975,3.00,2.50,3030,45004,2,9,0,1987
2014-09-01 00:00:00,740000,4.00,2.00,2050,4400,1.5,9,0,1922
2015-04-01 00:00:00,186375,3.00,1.00,1000,7636,1,7,0,1952
2014-07-01 00:00:00,790000,3.00,2.25,2370,10289,1,9,780,1977
2014-09-01 00:00:00,880000,4.00,3.50,2800,6750,2,9,910,1951
2015-04-01 00:00:00,279000,6.00,1.75,2240,11180,2,7,0,1955
2014-07-01 00:00:00,295000,3.00,2.00,1810,10530,1,8,0,1991
2015-04-01 00:00:00,640000,2.00,1.00,1070,5000,1,7,0,1924
2014-07-01 00:00:00,940000,4.00,2.00,2490,9525,2,9,0,1968
2014-10-01 00:00:00,260000,4.00,2.50,1960,5238,2,7,0,2003
2014-06-01 00:00:00,559900,3.00,2.75,2930,5569,1,9,1070,2004
2014-07-01 00:00:00,791500,4.00,2.00,1510,3500,1.5,7,0,1911
2014-08-01 00:00:00,265000,3.00,1.75,1420,8250,1,7,0,1954
2015-05-01 00:00:00,245000,3.00,1.75,1740,11547,1,7,0,1954
2015-04-01 00:00:00,485000,4.00,1.75,2560,43995,2,7,0,1962
2014-11-01 00:00:00,684000,4.00,3.50,3040,8414,2,9,620,2010
2014-09-01 00:00:00,425000,3.00,1.75,2500,6840,1,8,1200,1957
2014-10-01 00:00:00,309600,4.00,1.75,1275,20000,1,6,0,1991
2014-07-01 00:00:00,552250,4.00,2.50,2580,5823,2,8,0,2002
2014-07-01 00:00:00,165000,4.00,1.00,1000,7134,1,6,0,1943
2014-12-01 00:00:00,239900,4.00,1.00,1000,7134,1,6,0,1943
2014-12-01 00:00:00,320000,2.00,1.00,1070,32633,1,6,0,1930
2014-10-01 00:00:00,206600,3.00,2.00,1390,13464,1,7,0,1987
2015-04-01 00:00:00,387000,4.00,1.75,2500,7690,1,7,1250,1973
2014-06-01 00:00:00,299000,1.00,0.75,560,12120,1,4,0,1967
2014-09-01 00:00:00,855000,4.00,2.75,2270,10460,2,9,0,1965
2015-01-01 00:00:00,315000,3.00,1.00,1900,14400,1,7,600,1954
